,Time (UTC+10),Regions VIC Trading Price ($/MWh),charging_or_not,discharging_or_not,raw_power,market_dispatch,opening_capacity,closing_capacity,revenue
49170,2020-10-21 09:00:00,53.68,0,1,0,0,0,0,0
49171,2020-10-21 09:30:00,45.35,0,0,0,0,0,0,0
49172,2020-10-21 10:00:00,40.77,1,0,-300,-150,0,135,-6171
49173,2020-10-21 10:30:00,42.1,0,0,0,0,135,135,0
49174,2020-10-21 11:00:00,42.12,0,0,0,0,135,135,0
49175,2020-10-21 11:30:00,46.31,0,0,0,0,135,135,0
49176,2020-10-21 12:00:00,43.64,0,0,0,0,135,135,0
49177,2020-10-21 12:30:00,40.08,1,0,-300,-150,135,270,-6067
49178,2020-10-21 13:00:00,40.08,1,0,-300,-150,270,405,-6067
49179,2020-10-21 13:30:00,42.22,1,0,-300,-150,405,540,-6391
49180,2020-10-21 14:00:00,50.11,0,0,0,0,540,540,0
49181,2020-10-21 14:30:00,56.47,0,0,0,0,540,540,0
49182,2020-10-21 15:00:00,49.07,0,0,0,0,540,540,0
49183,2020-10-21 15:30:00,48.44,0,0,0,0,540,540,0
49184,2020-10-21 16:00:00,44.25,1,0,-88,-44,540,580,-1965
49185,2020-10-21 16:30:00,41.38,1,0,0,0,580,580,0
49186,2020-10-21 17:00:00,58.03,0,0,0,0,580,580,0
49187,2020-10-21 17:30:00,59.54,0,0,0,0,580,580,0
49188,2020-10-21 18:00:00,59.57,0,0,0,0,580,580,0
49189,2020-10-21 18:30:00,140.6,0,1,300,135,580,430,18810
49190,2020-10-21 19:00:00,187.29,0,1,300,135,430,280,25057
49191,2020-10-21 19:30:00,62.89,0,1,300,135,280,130,8414
49192,2020-10-21 20:00:00,67.2,0,1,288,129,130,0,8591
49193,2020-10-21 20:30:00,45.83,0,0,0,0,0,0,0
49194,2020-10-21 21:00:00,47.52,0,0,0,0,0,0,0
49195,2020-10-21 21:30:00,44.08,0,0,0,0,0,0,0
49196,2020-10-21 22:00:00,44.18,0,0,0,0,0,0,0
49197,2020-10-21 22:30:00,61.92,0,1,0,0,0,0,0
49198,2020-10-21 23:00:00,48.87,0,0,0,0,0,0,0
49199,2020-10-21 23:30:00,55.57,0,1,0,0,0,0,0
49200,2020-10-22 00:00:00,50.67,0,1,0,0,0,0,0
49201,2020-10-22 00:30:00,48.98,0,0,0,0,0,0,0
49202,2020-10-22 01:00:00,43.01,0,0,0,0,0,0,0
49203,2020-10-22 01:30:00,38.85,1,0,-300,-150,0,135,-5880
49204,2020-10-22 02:00:00,40.47,1,0,-300,-150,135,270,-6126
49205,2020-10-22 02:30:00,40.67,1,0,-300,-150,270,405,-6156
49206,2020-10-22 03:00:00,39.18,1,0,-300,-150,405,540,-5930
49207,2020-10-22 03:30:00,46.09,1,0,-88,-44,540,580,-2046
49208,2020-10-22 04:00:00,49.11,1,0,0,0,580,580,0
49209,2020-10-22 04:30:00,51.82,0,0,0,0,580,580,0
49210,2020-10-22 05:00:00,50.79,0,0,0,0,580,580,0
49211,2020-10-22 05:30:00,52.89,0,0,0,0,580,580,0
49212,2020-10-22 06:00:00,224.51,0,1,300,135,580,430,30036
49213,2020-10-22 06:30:00,59.44,0,1,300,135,430,280,7952
49214,2020-10-22 07:00:00,66.18,0,1,300,135,280,130,8854
49215,2020-10-22 07:30:00,49.88,0,1,288,129,130,0,6377
49216,2020-10-22 08:00:00,48.78,0,1,0,0,0,0,0
49217,2020-10-22 08:30:00,52.32,0,1,0,0,0,0,0
49218,2020-10-22 09:00:00,42.63,0,0,0,0,0,0,0
49219,2020-10-22 09:30:00,42.43,0,0,0,0,0,0,0
49220,2020-10-22 10:00:00,38.72,1,0,-300,-150,0,135,-5861
49221,2020-10-22 10:30:00,40.74,1,0,-300,-150,135,270,-6166
49222,2020-10-22 11:00:00,45.56,0,0,0,0,270,270,0
49223,2020-10-22 11:30:00,38.14,1,0,-300,-150,270,405,-5773
49224,2020-10-22 12:00:00,38.1,1,0,-300,-150,405,540,-5767
49225,2020-10-22 12:30:00,42.46,1,0,-88,-44,540,580,-1885
49226,2020-10-22 13:00:00,53.75,0,0,0,0,580,580,0
49227,2020-10-22 13:30:00,60.0,0,0,0,0,580,580,0
49228,2020-10-22 14:00:00,57.99,0,0,0,0,580,580,0
49229,2020-10-22 14:30:00,50.69,1,0,0,0,580,580,0
49230,2020-10-22 15:00:00,57.69,0,0,0,0,580,580,0
49231,2020-10-22 15:30:00,55.44,0,0,0,0,580,580,0
49232,2020-10-22 16:00:00,48.83,1,0,0,0,580,580,0
49233,2020-10-22 16:30:00,48.77,1,0,0,0,580,580,0
49234,2020-10-22 17:00:00,160.24,0,1,300,135,580,430,21438
49235,2020-10-22 17:30:00,68.49,0,1,300,135,430,280,9163
49236,2020-10-22 18:00:00,70.7,0,1,300,135,280,130,9459
49237,2020-10-22 18:30:00,58.54,0,1,288,129,130,0,7484
49238,2020-10-22 19:00:00,62.23,0,1,0,0,0,0,0
49239,2020-10-22 19:30:00,56.26,0,1,0,0,0,0,0
49240,2020-10-22 20:00:00,56.81,0,1,0,0,0,0,0
49241,2020-10-22 20:30:00,97.2,0,1,0,0,0,0,0
49242,2020-10-22 21:00:00,46.53,0,0,0,0,0,0,0
49243,2020-10-22 21:30:00,38.79,1,0,-300,-150,0,135,-5871
49244,2020-10-22 22:00:00,31.52,1,0,-300,-150,135,270,-4771
49245,2020-10-22 22:30:00,47.29,0,1,300,135,270,120,6327
49246,2020-10-22 23:00:00,44.19,0,0,0,0,120,120,0
49247,2020-10-22 23:30:00,49.99,0,1,266,119,120,0,5895
49248,2020-10-23 00:00:00,47.77,0,1,0,0,0,0,0
49249,2020-10-23 00:30:00,46.78,0,1,0,0,0,0,0
49250,2020-10-23 01:00:00,42.81,0,0,0,0,0,0,0
49251,2020-10-23 01:30:00,42.74,0,0,0,0,0,0,0
49252,2020-10-23 02:00:00,39.79,1,0,-300,-150,0,135,-6023
49253,2020-10-23 02:30:00,42.57,0,0,0,0,135,135,0
49254,2020-10-23 03:00:00,39.62,1,0,-300,-150,135,270,-5997
49255,2020-10-23 03:30:00,39.05,1,0,-300,-150,270,405,-5911
49256,2020-10-23 04:00:00,40.35,1,0,-300,-150,405,540,-6107
49257,2020-10-23 04:30:00,41.46,1,0,-88,-44,540,580,-1841
49258,2020-10-23 05:00:00,42.49,1,0,0,0,580,580,0
49259,2020-10-23 05:30:00,49.59,1,0,0,0,580,580,0
49260,2020-10-23 06:00:00,61.68,0,0,0,0,580,580,0
49261,2020-10-23 06:30:00,64.08,0,0,0,0,580,580,0
49262,2020-10-23 07:00:00,73.11,0,0,0,0,580,580,0
49263,2020-10-23 07:30:00,122.97,0,1,300,135,580,430,16452
49264,2020-10-23 08:00:00,92.22,0,1,300,135,430,280,12338
49265,2020-10-23 08:30:00,110.41,0,1,300,135,280,130,14771
49266,2020-10-23 09:00:00,68.35,0,1,288,129,130,0,8738
49267,2020-10-23 09:30:00,49.49,0,0,0,0,0,0,0
49268,2020-10-23 10:00:00,53.78,0,0,0,0,0,0,0
49269,2020-10-23 10:30:00,52.99,0,0,0,0,0,0,0
49270,2020-10-23 11:00:00,41.34,1,0,-300,-150,0,135,-6257
49271,2020-10-23 11:30:00,44.57,1,0,-300,-150,135,270,-6746
49272,2020-10-23 12:00:00,47.01,1,0,-300,-150,270,405,-7116
49273,2020-10-23 12:30:00,58.63,0,0,0,0,405,405,0
49274,2020-10-23 13:00:00,58.25,0,0,0,0,405,405,0
49275,2020-10-23 13:30:00,66.48,0,1,300,135,405,255,8894
49276,2020-10-23 14:00:00,60.56,0,0,0,0,255,255,0
49277,2020-10-23 14:30:00,106.94,0,1,300,135,255,105,14307
49278,2020-10-23 15:00:00,59.93,0,1,233,104,105,0,6177
49279,2020-10-23 15:30:00,63.79,0,0,0,0,0,0,0
49280,2020-10-23 16:00:00,32.47,1,0,-300,-150,0,135,-4915
